,text,scores,boxes,centroid,source
76,o infosmi media,0.9333442449569702,"[[1353.0, 221.0], [1480.0, 225.0], [1480.0, 247.0], [1352.0, 243.0]]",POINT (1416.2345327158296 234.01389383683647),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
77,seecul coffee bar,0.993468165397644,"[[218.0, 235.0], [340.0, 235.0], [340.0, 255.0], [218.0, 255.0]]",POINT (279 245),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
78,e,0.6738725304603577,"[[334.0, 233.0], [352.0, 233.0], [352.0, 253.0], [334.0, 253.0]]",POINT (343 243),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
79,radio swara perintis o,0.9456422328948975,"[[1574.0, 245.0], [1738.0, 241.0], [1738.0, 267.0], [1574.0, 271.0]]",POINT (1656 256),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
80,? toko benteng,0.9666352868080139,"[[626.0, 277.0], [744.0, 277.0], [744.0, 297.0], [626.0, 297.0]]",POINT (685 287),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
81,republik indonesia,0.9742035269737244,"[[1036.0, 313.0], [1150.0, 313.0], [1150.0, 327.0], [1036.0, 327.0]]",POINT (1093 320),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
82,boend,0.9949893951416016,"[[1870.0, 312.0], [1919.0, 318.0], [1919.0, 348.0], [1867.0, 342.0]]",POINT (1893.6929133858268 330.1417322834646),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
83,bagian organisasi,0.989207923412323,"[[1413.0, 326.0], [1563.0, 335.0], [1561.0, 361.0], [1411.0, 352.0]]",POINT (1487 343.5),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
84,setda kota sukabun,0.9825348258018494,"[[1398.0, 349.0], [1526.0, 349.0], [1526.0, 369.0], [1398.0, 369.0]]",POINT (1462 359),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
85,pemerintahan setda.,0.9619482755661011,"[[1644.0, 379.0], [1776.0, 379.0], [1776.0, 393.0], [1644.0, 393.0]]",POINT (1710 386),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
86,ciwangi restaurant,0.9998070597648621,"[[382.0, 468.0], [500.0, 468.0], [500.0, 488.0], [382.0, 488.0]]",POINT (441 478),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
87,& andi florest,0.9985265135765076,"[[412.0, 484.0], [506.0, 484.0], [506.0, 504.0], [412.0, 504.0]]",POINT (459 494),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
88,t,0.9015192985534668,"[[498.0, 476.0], [532.0, 476.0], [532.0, 500.0], [498.0, 500.0]]",POINT (515 488),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
