,latitude,longitude,nama,kategori,telp,alamat,website,last_review,date_last_review,last_review_rating,link,intersect
30,-6.9163275,106.9319107,Hotel New Berlian,Hotel,Telepon: (0266) 223191 ,"Alamat: Jl. Surya Kencana No.54, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113 ",,"Sedikit perlu perhatian dalam pelayanan, waktu Saya datang kan hujan mau parkir nurunin keluarga di lobi ga bisa soalnya ada orang lg ngobrol akhirnya Saya berhenti nurunin sambil ujan"" an. Semestinya kan petugas hotel tuh sigap suruh lah …",2 minggu lalu,3 bintang,"https://www.google.com/maps/place/Hotel+New+Berlian/@-6.9166128,106.9307722,20z/data=!4m6!3m5!1s0x2e684834398e702d:0x1ed3ba9879ca6fe8!8m2!3d-6.9163275!4d106.9319107!16s%2Fg%2F11b7lh24f8?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
31,-6.916497,106.9317668,Cafe Kappe,Kafe,Telepon: 0857-2216-7888 ,"Alamat: 3WMJ+CP2, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113 ",,"menu nya cukup beragam, tempat nya terang dan berpendengin ruangan. tersedia wifi dan colokan juga",9 bulan lalu,4 bintang,"https://www.google.com/maps/place/Cafe+Kappe/@-6.9166128,106.9307722,20z/data=!4m6!3m5!1s0x2e6848343bea3bdf:0x546de04d1089fb19!8m2!3d-6.916497!4d106.9317668!16s%2Fg%2F11ckr9p0q2?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
32,-6.9165076,106.9319895,EF Sukabumi,Sekolah Bahasa Inggris,Telepon: 1 500 553 ,"Alamat: Jl. Surya Kencana No.1-2 Blok 51, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113 ",Situs Web: ef.co.id ,"Ibu Adinda Nur Solihah yang terhormat,

Terima kasih banyak atas ulasan bintang 5 Anda yang luar biasa! Kepuasan Anda … Lainnya",2 bulan lalu,5 bintang,"https://www.google.com/maps/place/EF+Sukabumi/@-6.9166128,106.9307722,20z/data=!4m6!3m5!1s0x2e6849a2988880ad:0x1acc1321412f7f69!8m2!3d-6.9165076!4d106.9319895!16s%2Fg%2F11kb_96jmy?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
33,-6.9166462,106.9313158,Kopi Dermawan,Kafe,Telepon: 0818-850-031 ,"Alamat: Jl. Surya Kencana No.52, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114 ",Situs Web: l.instagram.com ,"hmmmmmm.. jadi gini..aku pesen cappucino, tp gk expect bakal sepait ituuu wkwkw, kalo boleh jujur paitnya masih berasa di lidahhh tp pelayanannya mantepppp minta gula di kasih walaupun kek cuma air gulaaaa. tetehnya juga baikk, tp datengnya …",seminggu lalu,4 bintang,"https://www.google.com/maps/place/Kopi+Dermawan/@-6.9166128,106.9307722,20z/data=!4m6!3m5!1s0x2e684912f0c2a6fd:0x88ab2e8dcb787bcb!8m2!3d-6.9166462!4d106.9313158!16s%2Fg%2F11j2xg8tqp?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
34,-6.9167877,106.9310484,Apotek Surya Kencana,Apotek,Telepon: (0266) 221447 ,"Alamat: Jl. Surya Kencana No.50, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114 ",,,5 hari lalu,5 bintang,"https://www.google.com/maps/place/Apotek+Surya+Kencana/@-6.9166128,106.9307722,20z/data=!4m6!3m5!1s0x2e68483419b82813:0x269846bf820dab7a!8m2!3d-6.9167877!4d106.9310484!16s%2Fg%2F1hd_2v2vm?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
35,-6.9167443,106.9318475,RA/BA/TA Baitul Ulum,Kelompok Bermain,Telepon: (0266) 213719 ,"Alamat: 3WMJ+8P5, Jl. Surya Kencana Gang Cipelang I, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113 ",,,,,"https://www.google.com/maps/place/RA%2FBA%2FTA+Baitul+Ulum/@-6.9166128,106.9307722,20z/data=!4m6!3m5!1s0x2e68483424bc5d51:0x9aee074b9a128ddd!8m2!3d-6.9167443!4d106.9318475!16s%2Fg%2F11bc7s7q7h?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
36,-6.9167923,106.9310169,Kopitiam Sukabumi,Kedai Kopi,,"Alamat: Jalan Surya Kencana, Selabatu, Cikole, Jl. Surya Kencana No.50, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114 ",,Mantap,5 hari lalu,5 bintang,"https://www.google.com/maps/place/Kopitiam+Sukabumi/@-6.9166128,106.9307722,20z/data=!4m6!3m5!1s0x2e6848341a203c7b:0xc4b3d488bcb4cc35!8m2!3d-6.9167923!4d106.9310169!16s%2Fg%2F11c5x35tr_?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
37,-6.9169504,106.9307038,Warkop Sari Rasa,Toko Makanan,Telepon: 0899-7584-809 ,"Alamat: Jl. Surya Kencana No.42, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114 ",,"Warung legend sih ini,,sering mampir kalo pulang jualan tengah malam buat isi perut,sudah ada sejak lama,, dulu tinggal di Smi 2000 sampai 2004,,",3 minggu lalu,4 bintang,"https://www.google.com/maps/place/Warkop+Sari+Rasa/@-6.9166128,106.9307722,20z/data=!4m6!3m5!1s0x2e6848341b336dc7:0x6fea84ad68d8f660!8m2!3d-6.9169504!4d106.9307038!16s%2Fg%2F11bz_1z3bh?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
38,-6.9169479,106.9309434,NIRWANA PHOTOCOPY SUKABUMI,Toko Fotokopi,Telepon: 0812-8755-6677 ,"Alamat: 3WMJ+69G, Jl. Dewi Sartika, Cikole, Kab. Sukabumi, Kota Sukabumi, Jawa Barat 43113 ",,Kak mau tanya ada hard cover yang warna merah maroon gak?,3 bulan lalu,5 bintang,"https://www.google.com/maps/place/NIRWANA+PHOTOCOPY+SUKABUMI/@-6.9166128,106.9307722,20z/data=!4m6!3m5!1s0x2e6848341ba4a289:0x8270ee7b98eff4e2!8m2!3d-6.9169479!4d106.9309434!16s%2Fg%2F11g9q39mhz?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
39,-6.9169573,106.9312565,Konveksi Baju Kaos Pakaian Kerja,Produsen pakaian dan kain,,"Alamat: 3WMJ+6G6, Jl. Dewi Sartika, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113 ",,,,,"https://www.google.com/maps/place/Konveksi+Baju+Kaos+Pakaian+Kerja/@-6.9166128,106.9307722,20z/data=!4m6!3m5!1s0x2e6849efbd9efefd:0x9838b683c4135c6d!8m2!3d-6.9169573!4d106.9312565!16s%2Fg%2F11rcbzksr5?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
