,text,scores,boxes,centroid,source,latitude,longitude,nama,kategori,telp,alamat,website,last_review,date_last_review,last_review_rating,link
39,ocbcnisp,0.8862483501434326,"[[70.0, 622.0], [164.0, 622.0], [164.0, 644.0], [70.0, 644.0]]",POINT (117 633),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9204512,106.929585,OCBC NISP,Bank,Telepon: (0266) 218130 ,"Alamat: Jl. R. E. Martadinata No.32, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,Bank Ter lelet. Benerin ATM aja udah 3 jam ga beres2.,2 hari lalu,1 bintang,"https://www.google.com/maps/place/OCBC+NISP/@-6.9204559,106.9292624,20z/data=!4m6!3m5!1s0x2e684830d3d56e17:0x3f580fdf8ec5f80d!8m2!3d-6.9204512!4d106.929585!16s%2Fg%2F1hc2wg5dq?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D"
40,gudang besar premiere o,0.9533564448356628,"[[1416.0, 626.0], [1600.0, 626.0], [1600.0, 652.0], [1416.0, 652.0]]",POINT (1508 639),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
41,dago sukabumi,0.9705355763435364,"[[1008.0, 670.0], [1106.0, 668.0], [1106.0, 684.0], [1008.0, 686.0]]",POINT (1057 677),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9205148,106.9309918,Dago sukabumi,Tujuan Wisata,,"Alamat: 3WHJ+R9G, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113 ",,,3 minggu lalu,5 bintang,"https://www.google.com/maps/place/Dago+sukabumi/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e684938be9745fd:0xfc7dabac10d16df4!8m2!3d-6.9205148!4d106.9309918!16s%2Fg%2F11v9w31x4d?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D"
42,sanya sukabumi,0.9696014523506165,"[[229.0, 687.0], [340.0, 692.0], [339.0, 712.0], [228.0, 707.0]]",POINT (284 699.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9205537,106.929963,Sanya Sukabumi,Toko Perlengkapan Rumah,,"Alamat: Jl. R. E. Martadinata No.38, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,2 minggu lalu,4 bintang,"https://www.google.com/maps/place/Sanya+Sukabumi/@-6.9205527,106.9296416,20z/data=!4m6!3m5!1s0x2e6848372d3aec95:0xc74edfcad2519dae!8m2!3d-6.9205537!4d106.929963!16s%2Fg%2F11g6yrq0g4?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D"
43,erafone mega,0.9865718483924866,"[[412.0, 692.0], [490.0, 692.0], [490.0, 706.0], [412.0, 706.0]]",POINT (451 699),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9205498,106.9300093,Erafone Megastore Sukabumi 2,Toko Elektronik,Telepon: (0266) 6222225 ,"Alamat: Jl. R. E. Martadinata No.38, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",Situs Web: erafone.com ,"Ka, mau tnya apakah ada no wa admin yg bisa dihubungi?",2 bulan lalu,3 bintang,"https://www.google.com/maps/place/Erafone+Megastore+Sukabumi+2/@-6.9205594,106.9296849,20z/data=!4m6!3m5!1s0x2e68495bf5703f29:0xfde1c93a03fec0f1!8m2!3d-6.9205498!4d106.9300093!16s%2Fg%2F11h34p3qzl?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D"
44,o halte dago sukabumi,0.97956383228302,"[[1420.0, 690.0], [1586.0, 690.0], [1586.0, 716.0], [1420.0, 716.0]]",POINT (1503 703),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9205384,106.9314072,Halte Dago Sukabumi,Kantor Perusahaan,,"Alamat: 3WHJ+QHM, Jl. R. E. Martadinata, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,4 tahun lalu,5 bintang,"https://www.google.com/maps/place/Halte+Dago+Sukabumi/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e684973cdc78eb7:0x2fbe645e8af7e7e0!8m2!3d-6.9205384!4d106.9314072!16s%2Fg%2F11g0wgncnm?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D"
45,a,0.6804260611534119,"[[372.0, 702.0], [400.0, 702.0], [400.0, 718.0], [372.0, 718.0]]",POINT (386 710),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
46,-,0.893582820892334,"[[1876.0, 817.0], [1892.0, 817.0], [1892.0, 837.0], [1876.0, 837.0]]",POINT (1884 827),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
47,sukagoogle,0.9877458810806274,"[[938.0, 842.0], [1023.0, 856.0], [1020.0, 876.0], [935.0, 862.0]]",POINT (979 859),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9207397,106.9308448,TKK BPK Penabur Sukabumi,Sekolah,,"Alamat: 3WHJ+P85, Jl. R. E. Martadinata, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,Gurunya ramah ramah,2 bulan lalu,5 bintang,"https://www.google.com/maps/place/TKK+BPK+Penabur+Sukabumi/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e684830d12badd1:0x453de89d8749d336!8m2!3d-6.9207397!4d106.9308448!16s%2Fg%2F11bwh71t7f?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D"
48,cimb niaga atm,0.9498157501220703,"[[1597.0, 857.0], [1732.0, 866.0], [1731.0, 887.0], [1596.0, 879.0]]",POINT (1663.4783006984999 872.2165349822512),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9207756,106.9316443,Cimb Niaga ATM,ATM,Telepon: (0266) 14041 ,"Alamat: Jl. R. E. Martadinata, Kebonjati, Kab. Sukabumi, Kota Sukabumi, Jawa Barat 43113 ",,"System antri yang jelek, saya antri mau penggantian kartu atm yg ilang sampai di selak 6 orang yang mau buka rekening, kartu antri fungsinya apa??!! Saya dan yang mau buat rekening baru stasus nya sama ga ada yg prioritas mba dan mas satpam, semua orang punya aktivitas lain semua orang sibuk ga bisa kaya gitu system antrian nya.",sebulan lalu,1 bintang,"https://www.google.com/maps/place/Cimb+Niaga+ATM/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e68483715db3d1f:0xfcda1edf8b4e57a1!8m2!3d-6.9207756!4d106.9316443!16s%2Fg%2F1hhgjxrkc?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D"
